REPORT_DATE,EOM_SEQ,EOW_SEQ,DES_PROGRAM,ORGANISATION_NAME,ORGANISATION_CODE,SUMMARY_LINE_TYPE,LMR_NAME,LMR_CODE,ESA_NAME,ESA_CODE,CONTRACT_ID,SITE_NAME,SITE_CODE,LOCALITY,SITE_TYPE,SPECIALTY_CD,START_DATE,END_DATE,PROV_EOM_SEQ,PROV_EOW_SEQ,CONTRACT_START_GROUP,PERFORMANCE_MEASURES,RATE,NUMERATOR,DENOMINATOR,OWN_ORG_ESA_AVG,OWN_ORG_LMR_AVG,OWN_ORG_NAT_AVG,ALL_ORG_SAME_SPEC_ESA_AVG,ALL_ORG_SAME_SPEC_LMR_AVG,ALL_ORG_SAME_SPEC_NAT_AVG,ALL_ORG_ESA_AVG,ALL_ORG_LMR_AVG,ALL_ORG_NAT_AVG,NAT_AVG_ALL_SPEC_JULY_2018
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,0,5,,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,0,5,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,0,5,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,0,5,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment DULWICH,FV18,DULWICH,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,0,5,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,0,5,,52 Week Full Outcomes,0,0,0,5.2,4,10.9,9.3,7.7,12.4,12.9,15,15.7,13.4
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,0,5,,52 Week Full Outcomes,0,0,0,5.2,4,10.9,9.3,7.7,12.4,12.9,15,15.7,13.4
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,0,5,,52 Week Pathway Outcomes,0,0,0,0,0.9,0.6,1.4,1,1,1.2,1.5,1.1,1.1
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,0,5,,52 Week Pathway Outcomes,0,0,0,0,0.9,0.6,1.4,1,1,1.2,1.5,1.1,1.1
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,0,5,1/07/2018 0:00,52 Week Full Outcomes,3.45,1,29,5.2,4,10.9,3.4,2.2,9.7,12.9,15,15.7,9.6
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MUSK,2/07/2018 0:00,30/06/2023 0:00,0,5,1/07/2018 0:00,26 Week Pathway Outcomes,0,0,36,0,0.6,0.8,0,1.5,0.7,2.9,1.9,1.2,0.7
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,0,5,1/07/2018 0:00,26 Week Pathway Outcomes,0,0,40,0,0.6,0.8,0,1.5,0.7,2.9,1.9,1.2,0.7
30/09/2022,0,5,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MUSK,2/07/2018 0:00,30/06/2023 0:00,0,5,1/07/2018 0:00,52 Week Full Outcomes,3.45,1,29,5.2,4,10.9,3.4,2.2,9.7,12.9,15,15.7,9.6
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,52 Week Full Outcomes,0,0,0,5.2,4,10.9,9.3,7.7,12.4,12.9,15,15.7,13.4
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Full Outcomes,14.77,13,88,14.1,15.1,22,17.8,16.8,20.3,21.2,21.5,22.8,21.6
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,13 Week Full Outcomes,19.39,19,98,17.1,18.9,23.4,19.3,19.9,21.7,21.8,22.3,24,22.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,52 Week Full Outcomes,6.25,3,48,5.2,4,10.9,9.3,7.7,12.4,12.9,15,15.7,13.4
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Full Outcomes,15.12,13,86,14.1,15.1,22,17.8,16.8,20.3,21.2,21.5,22.8,21.6
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,13 Week Full Outcomes,20,19,95,17.1,18.9,23.4,19.3,19.9,21.7,21.8,22.3,24,22.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,13 Week Full Outcomes,0,0,1,17.1,18.9,23.4,19.3,19.9,21.7,21.8,22.3,24,22.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Full Outcomes,0,0,1,14.1,15.1,22,17.8,16.8,20.3,21.2,21.5,22.8,21.6
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Full Outcomes,0,0,1,14.1,15.1,22,17.8,16.8,20.3,21.2,21.5,22.8,21.6
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,13 Week Full Outcomes,0,0,2,17.1,18.9,23.4,19.3,19.9,21.7,21.8,22.3,24,22.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Bonus Outcomes,0,0,0,0,100,64.7,0,100,72.6,70,68.8,73.7,71.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Bonus Outcomes,0,0,0,0,100,64.7,0,100,72.6,70,68.8,73.7,71.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,52 Week Pathway Outcomes,0,0,0,0,0.9,0.6,1.4,1,1,1.2,1.5,1.1,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,52 Week Pathway Outcomes,0,0,0,0,0.9,0.6,1.4,1,1,1.2,1.5,1.1,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment DULWICH,FV18,DULWICH,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,52 Week Pathway Outcomes,0,0,0,0,0.9,0.6,0,2.2,0.5,1.2,1.5,1.1,0.5
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,52 Week Pathway Outcomes,0,0,0,0,0.9,0.6,0,2.2,0.5,1.2,1.5,1.1,0.5
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Bonus Outcomes/Work Assist,0,0,0,0,100,64.7,0,100,72.6,50,66.3,71.9,71.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Bonus Outcomes/Work Assist,0,0,0,0,100,64.7,0,100,72.6,50,66.3,71.9,71.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,4 Week Outcomes,16.67,1,6,19.5,18.1,19.8,20.4,19.5,19.4,18.2,17.6,19.5,20.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Full Outcomes,13.95,6,43,14.1,15.1,22,12.8,16,21.6,21.2,21.5,22.8,21.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,4 Week Outcomes,22.33,23,103,19.5,18.1,19.8,20.4,19.5,19.4,18.2,17.6,19.5,20.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment DULWICH,FV18,DULWICH,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment DULWICH,FV18,DULWICH,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,Work Assist,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,Ongoing Support,0,0,0,0,0,0,0,0,0,0,0,0,
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Full Outcomes,12.77,6,47,14.1,15.1,22,12.8,16,21.6,21.2,21.5,22.8,21.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,4 Week Outcomes,0,0,2,19.5,18.1,19.8,20.4,19.5,19.4,18.2,17.6,19.5,20.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,52 Week Full Outcomes,3.45,1,29,5.2,4,10.9,3.4,2.2,9.7,12.9,15,15.7,9.6
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,52 Week Full Outcomes,6.25,3,48,5.2,4,10.9,9.3,7.7,12.4,12.9,15,15.7,13.4
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,4 Week Outcomes,21.62,24,111,19.5,18.1,19.8,20.4,19.5,19.4,18.2,17.6,19.5,20.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,52 Week Full Outcomes,0,0,0,5.2,4,10.9,9.3,7.7,12.4,12.9,15,15.7,13.4
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment DULWICH,FV18,DULWICH,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Full Outcomes,0,0,1,14.1,15.1,22,12.8,16,21.6,21.2,21.5,22.8,21.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Full Outcomes,0,0,3,14.1,15.1,22,12.8,16,21.6,21.2,21.5,22.8,21.9
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment DULWICH,FV18,DULWICH,FULL,MUSK,17/09/2021 0:00,30/06/2023 0:00,1,0,,13 Week Full Outcomes,0,0,1,17.1,18.9,23.4,13,17,22.7,21.8,22.3,24,22.8
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment MAYLANDS,FV28,MAYLANDS,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Pathway Outcomes,0,0,1,0,0.6,0.8,2,1.4,1,2.9,1.9,1.2,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment DULWICH,FV18,DULWICH,FULL,MENH,17/09/2021 0:00,30/06/2023 0:00,1,0,,26 Week Pathway Outcomes,0,0,1,0,0.6,0.8,2,1.4,1,2.9,1.9,1.2,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,4 Week Outcomes,15.87,10,63,19.5,18.1,19.8,15.9,15.1,20.5,18.2,17.6,19.5,20.7
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,,,,,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,13 Week Full Outcomes,12.96,7,54,17.1,18.9,23.4,13,17,22.7,21.8,22.3,24,22.8
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Pathway Outcomes,0,0,69,0,0.6,0.8,2,1.4,1,2.9,1.9,1.2,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Pathway Outcomes,0,0,71,0,0.6,0.8,2,1.4,1,2.9,1.9,1.2,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,52 Week Pathway Outcomes,0,0,40,0,0.9,0.6,1.4,1,1,1.2,1.5,1.1,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212790K,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MUSK,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,52 Week Pathway Outcomes,0,0,28,0,0.9,0.6,0,2.2,0.5,1.2,1.5,1.1,0.5
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,52 Week Pathway Outcomes,0,0,40,0,0.9,0.6,1.4,1,1,1.2,1.5,1.1,1.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Bonus Outcomes,0,0,0,0,100,64.7,0,100,72.6,70,68.8,73.7,71.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,ESA,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,,,,,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Bonus Outcomes/Work Assist,0,0,0,0,100,64.7,0,100,72.6,50,66.3,71.9,71.1
30/09/2022,1,0,DES - DMS,AIMBIG EMPLOYMENT PTY LTD,VVFE,OUTLET,Adelaide,4ADE,Eastern Adelaide SA,4EAA,0212789F,AimBig Employment PROSPECT,MO87,PROSPECT,PART,MENH,2/07/2018 0:00,30/06/2023 0:00,1,0,1/07/2018 0:00,26 Week Bonus Outcomes,0,0,0,0,100,64.7,0,100,72.6,70,68.8,73.7,71.1
